No.;Time;Comment;Scramble;Date;P.1
1;11.95;;U2 L2 F' D2 F2 L2 R2 F L2 U2 L' F2 R' D F' L B' R2 B2 R';2020-03-21 17:05:32;11.95
2;12.17;;U2 F2 R2 U2 L2 D' L2 F2 D R2 F2 R F U B' D' B D L2 F';2020-03-21 17:06:04;12.17
3;13.13;;L2 B2 U B2 R2 D F2 R2 B2 R2 U B2 R D R2 B' R F2 U B2 U2;2020-03-21 17:06:28;13.13
4;14.97;;F2 L2 U R2 F' R' L B2 L2 U' R2 F2 U D2 B2 U' D2 F L2;2020-03-21 17:06:51;14.97
5;13.66;;U' L2 D2 F R2 B D2 R2 B L2 D2 L' F' R2 D2 F R' U' L2 B2;2020-03-21 17:07:17;13.66
6;12.86;;L' F2 L2 B2 L2 B L2 B' L2 U2 F' D2 F2 L U' B F' R' F R B;2020-03-21 17:07:43;12.86
7;13.09;;B2 L2 F' U2 B2 L2 F' D2 R2 B' L2 B L' D B' D2 L U2 B2 F;2020-03-21 17:08:07;13.09
8;14.58;;L' D F' L2 F U2 B2 F' R2 U2 F2 L2 F' L U' R B' L2 B' R';2020-03-21 17:08:33;14.58
9;16.27;;D' R D2 B' L2 F D2 F R2 F' L2 D2 F' L F D2 R F' D L2 U;2020-03-21 17:08:57;16.27
10;11.68;;U' R2 U2 R2 U2 B R2 F U2 L2 F2 L2 B' R F U F2 D2 R D;2020-03-21 17:09:26;11.68
11;11.88;;U R2 F' L U B2 L' U' B2 R2 F2 R' D2 B2 D2 B2 R2 L F';2020-03-21 17:09:53;11.88
12;13.07;;F2 U L2 D' F2 R2 U2 R2 D' F' L2 F2 D2 F' U B2 L' U' L';2020-03-21 17:10:41;13.07
13;13.96;;U2 B2 F' D2 U2 F' U2 B' U2 R2 B' F' L' D' B2 F R' U R2 D' L;2020-03-21 17:11:05;13.96
14;11.84;;D R2 F2 U2 F2 R2 U L2 D L2 B' L' B D2 B' R F' U' B' L;2020-03-21 17:11:31;11.84
15;14.07;;L' D2 U R2 F2 U2 F2 D' F2 D' R2 F2 L2 B' L D L' R' B D U;2020-03-21 17:11:55;14.07
16;12.05;;B2 U' D2 B' L2 B' D2 F' D2 B' D2 L2 F D2 U L D' R2 U' B U';2020-03-21 17:12:21;12.05
17;12.83;;R' B2 L F2 U2 R F2 L' U2 R' D2 B2 U' B' R2 D' L' U R' F U;2020-03-21 17:12:47;12.83
18;12.53;;D' L F2 B2 L B2 R' D' F D2 L2 F B D2 F' L2 B U2 F2 L;2020-03-21 17:13:16;12.53
19;13.55;;U' F U L2 B2 D' R' L2 D B2 D R2 B2 U R2 D2 B2 U;2020-03-21 17:13:42;13.55
20;11.95;;R2 B D2 L2 U' F2 L2 R2 D' L2 R2 D' B2 L B L U R' B L F;2020-03-21 17:14:07;11.95
21;10.87;;D2 U2 F2 D2 R2 U2 R' B2 R2 B2 D2 U B' R B U' F' L2 R U';2020-03-21 17:14:31;10.87
22;10.53;;R2 D2 R2 U L2 U' R2 D F2 U' R2 L' U' B U2 F R D L F2 U2;2020-03-21 17:15:07;10.53
23;10.97;;F' L' B' R2 D2 L2 R2 F D2 F' U F2 L D' L' R U' B;2020-03-21 17:15:30;10.97
24;14.40;;D2 F R2 U F2 U R2 U B2 F2 D2 R2 L' U B' F2 L' B L2 F;2020-03-21 17:15:55;14.40
25;16.00;;D L B R' B' U B' L2 U2 B2 D R2 L2 U F2 L2 D2 F2 R F';2020-03-21 17:16:20;16.00
26;11.00;;F' L' F2 L2 D2 R B2 D2 L D2 R' U2 F2 U F R D F' U' R F;2020-03-21 17:16:57;11.00
27;13.03;;L2 F2 D L2 U' F2 R2 D R2 F2 B' U B' D F' D R B2 R;2020-03-21 17:17:21;13.03
28;14.21;;B2 F2 D2 L2 D' R2 D F2 D' L2 U2 R B2 R' U2 F D2 L R' B' U';2020-03-21 17:17:46;14.21
29;14.48;;U L2 R2 U R2 B2 U' L2 U' B2 D' L2 F' R2 D' B' F R' B F U;2020-03-21 17:18:27;14.48
