No.;Time;Comment;Scramble;Date;P.1
1;13.66;;D2 L U2 F2 D' R2 U2 F L U2 R2 U2 D2 R' U2 B2 U2 L' U2 F';2020-03-21 14:57:00;13.66
2;19.33;;L2 U2 F2 U2 R2 D2 L2 B L2 F2 D2 F2 R U' R D' F U' B' R2;2020-03-21 14:57:29;19.33
3;11.54;;D L B' R F U2 B D2 B2 R2 F2 D' F2 D2 L2 D2 R2 F2 R';2020-03-21 14:58:06;11.54
4;15.73;;D' B2 D2 R2 B2 L2 D L2 U F2 U' F2 L' B2 L R' F' R' B' R B';2020-03-21 14:58:28;15.73
5;13.03;;U2 F2 D2 L2 D2 L2 B F L2 F R2 D' B L' B R F2 U' R2 F2 L';2020-03-21 14:58:56;13.03
6;15.87;;B' R2 L2 U B' U' D2 R D' R2 L D2 R' B2 D2 B2 R' L' F2 U2;2020-03-21 14:59:19;15.87
7;12.22;;B' R B2 U2 R2 U2 F' L2 B U2 B' D2 R U2 L' B' D' L' U2;2020-03-21 14:59:49;12.22
8;13.74;;D2 R' B' U R2 L F2 R' U R2 D2 B2 D2 L U2 R F2 B2 L';2020-03-21 15:00:14;13.74
9;15.44;;L B' U' R2 D' U2 F2 D' F2 L2 D R2 B L2 R D2 L B2 D2 F;2020-03-21 15:00:43;15.44
10;15.04;;F2 D L B R' U L' F L2 B2 R L2 D2 L' B2 L' F2 D2 B2 D';2020-03-21 15:01:13;15.04
11;17.87;;U2 F L U2 R' B R' U' L' U F2 L2 U' F2 L2 U2 F2 R2 D L2 D2;2020-03-21 15:01:42;17.87
12;13.21;;U F2 D2 R2 F2 L2 B2 U' R2 D' B2 U' B' L' U' B U2 L2 F L' D2;2020-03-21 15:02:14;13.21
13;12.31;;R2 B D2 F2 D' R2 U' R2 D2 F2 L2 U2 F2 R2 L' U' B' L B' F2 U;2020-03-21 15:02:41;12.31
14;15.07;;B D U2 L2 R2 F' L2 F2 U2 R2 U2 F L2 R' U B L2 F L B2 D';2020-03-21 15:03:05;15.07
15;13.62;;U L' F2 R2 D R2 U' R2 D R2 D F2 R2 F' L D F L' D2 U2 F;2020-03-21 15:03:32;13.62
16;13.52;;R2 U R' B2 U2 B2 R B2 D2 R' B2 L B2 R D F' R' F2 D' U L';2020-03-21 15:03:55;13.52
17;11.99;;F' U' R2 U2 F2 L2 R2 U L2 F2 D' L2 U' R' B' R' F U F2 U' R2;2020-03-21 15:04:21;11.99
18;12.67;;U' D' L' F2 U2 B U L D R' F2 L' D2 F2 L F2 B2 U2 B2 L2;2020-03-21 15:04:44;12.67
19;13.00;;D' L' D2 L2 B2 U2 R B2 R B2 U2 R2 U2 D' F U2 B2 R F D2 R;2020-03-21 15:05:08;13.00
20;12.73;;U2 B L2 B L2 B D2 B' D2 R2 B' D2 L F R' D B F' L2 B;2020-03-21 15:05:33;12.73
21;12.74;;F U2 L2 F L2 B D2 F2 U2 F' L2 R' F' D' R2 D L2 B F2 D';2020-03-21 15:05:57;12.74
22;13.49;;U2 R2 F' R2 F U2 R2 D2 R2 U2 F U2 R U2 F R F' U' B2 L2 U';2020-03-21 15:06:25;13.49
23;12.91;;L' U2 F2 R D2 R D2 R' F2 R B2 R B L2 D' F U' R B2 U;2020-03-21 15:06:47;12.91
24;14.58;;B' R U2 B2 F2 D F2 D F2 R2 U' R2 F2 B L2 F' U' R F L' B2;2020-03-21 15:07:16;14.58
25;11.82;;F2 L2 D2 U B2 L2 D2 R2 D2 U R' F2 D' L' B' L R' B' D U2;2020-03-21 15:07:41;11.82
26;12.14;;L U' R B' U' R' F L' D' B2 R U2 R' U2 L2 U2 B2 U2 B2;2020-03-21 15:08:27;12.14
27;14.97;;B2 R2 B2 U B2 D' L' B D F2 D F2 B2 L2 U' D' L2 F2 D' F;2020-03-21 15:08:51;14.97
28;13.66;;L2 D R2 D' L2 D' U2 F2 R2 U R D B2 F' D' R U L U F;2020-03-21 15:09:24;13.66
29;14.19;;L B2 D L2 D' U2 F2 L2 F2 U' L' F2 D F' D L2 B' L F;2020-03-21 15:09:48;14.19
30;14.37;;R' D' B2 D2 B' R2 D2 F2 D2 F' U2 L2 F2 L U' R' F' D L' D F2;2020-03-21 15:10:50;14.37
31;14.12;;F2 D L2 B2 U2 L2 U R2 B2 L2 R' B2 U F' U2 B2 R U2 R U';2020-03-21 15:11:55;14.12
32;11.44;;U' F2 U2 R2 B2 D2 R2 F2 R2 D' F2 B D' R F2 U L D' F2;2020-03-21 15:12:17;11.44
33;15.49;;B U' B' L' U R' D2 L F2 L2 B2 U R2 U F2 D2 B2 U B2 L F';2020-03-21 15:12:40;15.49
34;12.26;;R' D' U2 F2 L' D2 L2 U2 R F2 R' F2 U2 L' F' U2 L F' D U R';2020-03-21 15:13:35;12.26
35;13.13;;B2 L U2 L2 B2 L' D2 R D2 F2 L' U2 F' D F' U2 L D2 B' L F';2020-03-21 15:14:00;13.13
36;21.42;;L' B L U2 F2 R D2 B2 U2 B2 L' R' F L' B' D' F L2 U';2020-03-21 15:14:35;21.42
37;15.54;;F2 R2 D L2 D' L2 D2 R2 L B F' D' B2 L D' R D2 F2;2020-03-21 15:15:06;15.54
38;14.39;;B L' F2 R F2 L' D2 R B2 L' U2 R B2 F' U R' B U B' L';2020-03-21 15:15:30;14.39
39;14.57;;D L2 D2 F2 L2 D R2 U' L2 U B2 L D R' F' D U2 B F2 R' D;2020-03-21 15:15:57;14.57
40;12.28;;U' B2 F2 R F2 L2 B2 U2 R D2 R2 U2 D' F D R' F2 R U' R;2020-03-21 15:16:23;12.28
41;13.94;;D L2 F2 D2 R2 D R2 F2 D F2 R F' R2 B L2 R2 U R2 D2 L';2020-03-21 15:16:49;13.94
42;15.09;;L2 F2 D2 R2 B2 F' D2 B R2 F U' R2 B' D R' F' D' L2 B2 R;2020-03-21 15:17:14;15.09
43;12.86;;R2 B D' L2 D2 L2 F2 U B2 D' B2 F2 U2 R2 B D2 L D B U2 R';2020-03-21 15:17:44;12.86
44;14.84;;D2 R2 F2 R2 F L2 D2 F U2 R2 U2 L' F' D L2 B D U B2 U2;2020-03-21 15:18:13;14.84
45;15.42;;D L D' U R2 F2 U2 R2 D' R2 F2 L2 U2 F' U' R D L D2 B F2;2020-03-21 15:18:44;15.42
46;16.73;;B2 D' L2 F2 L2 R2 D F2 D R2 D' F2 L' F' U2 R' B F2 R' B F2;2020-03-21 15:19:11;16.73
47;11.98;;L D' R2 U' B2 D F2 R2 D' L2 B2 U B' U2 L' B R F' D' R' D';2020-03-21 15:19:38;11.98
48;15.50;;R2 B2 L2 U2 R2 D' B2 D U B2 R' F D' U F R D' B' U2 B2;2020-03-21 15:21:01;15.50
49;16.14;;B' R D L2 F2 L2 D' B2 L2 D R2 D L2 D' L F2 L2 U' L' F D';2020-03-21 15:42:27;16.14
50;11.24;;F L' F' D B2 D2 R' B D' L U2 L F2 U2 R B2 R2 F2 D2 L;2020-03-21 15:42:53;11.24
51;12.54;;L' F D2 F2 L2 F2 R2 D R2 U' F2 U B' U' L' R B2 R' U R';2020-03-21 15:43:24;12.54
52;11.57;;B' L2 U B2 U' R2 D2 F2 R2 U F2 D R D2 U' L' D' U2 L F2;2020-03-21 15:44:38;11.57
53;14.66;;U' B2 U2 F2 U' L2 F2 U2 F2 R' U' F R' B D' U R' D' U;2020-03-21 15:47:06;14.66
54;14.21;;U' R2 D2 L2 D B2 R2 U R2 U2 F2 L2 F' U' B D U B2 F L' D';2020-03-21 15:47:30;14.21
55;13.28;;U B U L2 D' F2 U L2 U R2 U2 R2 D' R2 F L B R F2 L' F;2020-03-21 15:47:53;13.28
56;11.70;;F' D2 F2 U F2 D' R2 U' L2 R2 U2 L2 F' L U2 L' B' R' U L' F';2020-03-21 15:48:16;11.70
57;12.85;;D' L' B' D2 R F2 D' F2 D U2 B R2 U2 R2 F L2 U2 F2 B R2 B2;2020-03-21 15:49:27;12.85
58;13.09;;F2 U2 F' R2 F L2 B D2 R2 F2 D2 L U' F D R2 U B' D F';2020-03-21 15:49:51;13.09
59;14.04;;F' R B2 L2 U L2 U' R2 D' U2 L2 D2 U' R' D' F U2 B F' U';2020-03-21 15:50:13;14.04
60;10.87;;L' F' D F' R' D2 F L' U2 B2 L D2 R F2 U2 F2 R' B2 R';2020-03-21 15:50:46;10.87
61;13.01;;R2 D' F' U R2 U' R2 D2 B2 L2 U' F2 R' B' D' U2 R' D B';2020-03-21 15:51:08;13.01
62;13.19;;U2 R2 F2 D U B2 R2 B2 R2 F2 L U L2 B D2 U B' D F L;2020-03-21 15:51:33;13.19
