Timestamp,How old are you? (in years),How many years have you been cubing?,What is your global average? (in seconds),What is your primary method for speedsolving?,"On average, how many timed 3x3 solves do you do each day?",Approximately how many seconds of inspection do you use?,Approximately how many algorithms do you know for 3x3?,Are you color neutral (>1 color counts)?
3/21/2020 15:46,22,10,12,CFOP,80,10,200,Yes
3/21/2020 15:46,21,8,10,CFOP,20,10,120,Yes
3/21/2020 15:47,18,6,7.3,CFOP,100,10,600,Yes
3/21/2020 15:47,16,6,8.4,CFOP,20,10,80,No
3/21/2020 15:48,13,3,13,CFOP,10,8,300,Yes
3/21/2020 15:49,20,8,7.8,CFOP,20,10,500,Yes
3/21/2020 15:49,15,4,9,CFOP,20,10,300,Yes
3/21/2020 15:50,16,4,8,CFOP,25,9,300,Yes
3/21/2020 15:50,39,5,16,CFOP,100,11,100,No
3/21/2020 15:51,19,9,10,CFOP,0,10,130,Yes
3/21/2020 15:52,18,9,9,CFOP,50,10,350,Yes
3/21/2020 15:52,18,9,9.8,CFOP,30,10,150,Yes
3/21/2020 15:53,23,11,8,CFOP,100,10,200,No
3/21/2020 15:54,21,10,8,CFOP,20,5,500,No
3/21/2020 15:54,20,4.5,17,CFOP,2,12,100,Yes
3/21/2020 15:55,17,6,8,CFOP,50,6,150,No
3/21/2020 15:55,24,5,16.55,CFOP,20,6,40,No
3/21/2020 15:56,17,6,9.8,CFOP,50,5,200,No
3/21/2020 15:57,24,5,18,CFOP,50,8,60,No
3/21/2020 15:57,15,2,9,CFOP,30,10,100,No
3/21/2020 15:58,17,5,8,CFOP,0,6,150,Yes
3/21/2020 15:58,23,9,11,CFOP,5,10,80,Yes
3/21/2020 15:58,19,6,7.9,CFOP,40,10,300,Yes
3/21/2020 15:59,23,6,12,CFOP,12,8,500,Yes
3/21/2020 16:00,25,11,8,CFOP,100,7,150,No
3/21/2020 16:00,26,13,12,CFOP,5,8,60,Yes
3/21/2020 16:00,16,4.5,8.5,CFOP,50,9,150,No
3/21/2020 16:01,25,5,12,CFOP,20,4,100,No
3/21/2020 16:01,18,4,10.5,CFOP,10,6,250,Yes
3/21/2020 16:01,49,4,23,CFOP,10,8,50,No
3/21/2020 16:03,18,5,13,CFOP,50,8,50,Yes
3/21/2020 16:05,21,7,9,CFOP,50,10,100,Yes
3/21/2020 16:08,26,8,19,CFOP,0,8,150,Yes
3/21/2020 16:08,19,5,8.6,CFOP,5,11,400,Yes
3/21/2020 16:08,16,3.5,9.5,CFOP,100,10,200,No
3/21/2020 16:09,19,5,9,CFOP,20,6,700,Yes
3/21/2020 16:10,31,12,10,CFOP,100,8,150,No
3/21/2020 16:11,16,3.5,9.5,CFOP,30,10,800,No
3/21/2020 16:13,14,2,12,CFOP,30,7,60,No
3/21/2020 16:13,17,6.5,8.5,CFOP,12,10,250,Yes
3/21/2020 16:13,20,8,22.83,CFOP,30,8,300,Yes
3/21/2020 16:20,20,7,9.5,CFOP,10,8,100,Yes
3/21/2020 16:20,16,2,23.54,CFOP,20,9,30,No
3/21/2020 16:22,14,2.5,10,CFOP,50,8,150,Yes
3/21/2020 16:26,19.5,4.5,9.8,CFOP,80,7,78,No
3/21/2020 16:28,24,11,11,CFOP,0,10,100,Yes
3/21/2020 16:29,22,5,10.7,CFOP,50,6,200,No
3/21/2020 16:30,26,10.2,11.5,CFOP,5,9,65,Yes
3/21/2020 16:31,22,2,17,CFOP,70,13,90,Yes
3/21/2020 16:31,22,10,10,CFOP,25,9,100,Yes
3/21/2020 16:32,18,5,11.89,CFOP,100,15,150,Yes
3/21/2020 16:34,22,4,12,CFOP,50,7,80,No
3/21/2020 16:38,16,4,14.5,CFOP,1,10,90,Yes
3/21/2020 16:38,22,10,15,CFOP,10,10,50,Yes
3/21/2020 16:40,36,22,14,CFOP,10,12,150,Yes
3/21/2020 16:40,17,5,9.3,CFOP,3,5,100,No
3/21/2020 16:41,21,8,8,CFOP,1,15,300,Yes
3/21/2020 16:41,22,7,11,CFOP,10,7,100,Yes
3/21/2020 16:44,18,7,7.5,ZZ,100,10,300,No
3/21/2020 16:45,13,2,8.5,CFOP,250,4,200,Yes
3/21/2020 16:45,19,7,8,CFOP,20,12,125,Yes
3/21/2020 16:46,29,4,15,CFOP,10,10,200,Yes
3/21/2020 16:48,15,3,7.8,CFOP,100,8,120,Yes
3/21/2020 16:48,17,5,9,CFOP,150,8,200,Yes
3/21/2020 16:48,16,6,8,CFOP,50,10,2000,Yes
3/21/2020 16:48,17,5.5,8.8,CFOP,15,8,150,Yes
3/21/2020 16:48,19,5,11,CFOP,25,6,1000,No
3/21/2020 16:49,22,3,14,CFOP,50,15,100,Yes
3/21/2020 16:49,22,14,10,CFOP,12,7,110,No
3/21/2020 16:49,15,1,18,CFOP,50,10,35,No
3/21/2020 16:50,18,6,12,CFOP,5,12,400,No
3/21/2020 16:50,19,4,10,CFOP,50,9,80,No
3/21/2020 16:53,20,7,9.8,CFOP,25,8,120,Yes
3/21/2020 16:54,21,8,17,CFOP,0,7,70,No
3/21/2020 16:56,19,4,11,CFOP,0,12,110,No
3/21/2020 16:56,19,7,7.8,CFOP,150,10,400,Yes
3/21/2020 16:58,13,2,15,CFOP,40,7,60,Yes
3/21/2020 17:01,25,5,11,CFOP,25,10,100,No
3/21/2020 17:04,15,5,7.9,CFOP,50,5,150,Yes
3/21/2020 17:08,16,4,9,CFOP,150,10,200,Yes
3/21/2020 17:11,16,5,9.7,CFOP,12,5,80,No
3/21/2020 17:16,18,4,9.8,CFOP,20,10,180,Yes
3/21/2020 17:21,16,4,9,CFOP,50,8,300,Yes
3/21/2020 17:28,17,5,9,CFOP,15,13,200,Yes
3/21/2020 17:31,18,4,8,CFOP,20,8,1000,Yes
3/21/2020 17:36,23,10,10,CFOP,1,12,200,Yes
3/21/2020 17:45,16,3,9,CFOP,0,15,400,No
3/21/2020 17:46,18,3,9,CFOP,150,7,400,Yes
3/21/2020 17:50,20,7,9,CFOP,15,15,400,Yes
3/21/2020 17:52,41,8,22,CFOP,25,7,70,No
3/21/2020 18:09,17,7,7.5,CFOP,30,9,200,No
3/21/2020 18:09,16,3,9,Roux,100,12,200,Yes
3/21/2020 18:10,15,4,9.5,CFOP,50,7,110,Yes
3/21/2020 18:15,16,3,9,CFOP,10,6,200,Yes
3/21/2020 18:47,18,6.5,7.7,CFOP,50,10,250,Yes
3/21/2020 18:55,18,4,10.5,CFOP,50,13,170,Yes
3/21/2020 19:06,19,7,9,CFOP,100,8,500,No
3/21/2020 19:11,24,3,11.9,CFOP,200,4,300,No
3/21/2020 19:13,22,9,20,CFOP,30,11,40,No
3/21/2020 19:14,13,3,10.5,Other,60,7,500,Yes
3/21/2020 19:24,17,5,13,CFOP,50,10,50,Yes
3/21/2020 19:25,19,7,7.5,CFOP,10,7,1000,Yes
3/21/2020 19:27,16,3,13,Roux,3,10,25,No
3/21/2020 19:28,20,12,12,CFOP,5,8,69,Yes
3/21/2020 19:35,18,6,11,CFOP,10,7,80,Yes
3/21/2020 19:36,15,4,9,CFOP,20,6,60,Yes
3/21/2020 19:37,17,5,6.8,CFOP,30,8,600,Yes
3/21/2020 19:43,18,7,8.3,CFOP,30,7,150,No
3/21/2020 19:53,14,2.9,9.5,CFOP,50,10,120,Yes
3/21/2020 20:23,19,4,16,CFOP,20,9,50,No
3/21/2020 20:31,23,11,10.5,CFOP,20,6,120,No
3/21/2020 20:31,21,9,9,CFOP,40,10,200,No
3/21/2020 20:39,22,8,13,CFOP,100,10,50,No
3/21/2020 20:52,22,9,11,CFOP,20,12,200,Yes
3/21/2020 21:00,24,11,10,CFOP,0,9,420,Yes
